#{"t_start": 1758883056.7693052, "env_id": "BipedalWalker-v3"}
r,l,t
-90.512453,185,894.191951
-29.565694,569,895.508785
-70.928347,477,896.623662
-7.836311,986,901.349293
32.011276,1408,904.5065
199.650861,1600,910.598885
48.667695,1193,915.70307
172.286015,1600,919.400414
195.715436,1600,925.50263
181.378293,1600,931.650663
37.03612,1209,936.857755
210.606695,1600,940.518975
191.66303,1600,946.698075
193.875348,1600,952.709591
204.57189,1600,958.711072
191.285899,1600,964.824054
48.838995,1228,967.604427
195.226252,1600,973.617403
200.458988,1600,979.781391
207.454451,1600,983.447107
-51.82251,748,987.562335
19.309761,1145,990.178946
212.403086,1600,996.159509
-0.180502,948,1000.643179
-11.948328,746,1002.327134
220.167359,1600,1009.451053
196.802402,1600,1016.597195
236.178356,1600,1020.52449
-99.214759,128,1020.893275
-70.413735,431,1024.346861
217.062071,1600,1028.128624
207.644555,1600,1034.293792
-73.442089,393,1035.185863
221.553752,1600,1041.326463
201.973523,1600,1047.537495
-41.921861,417,1048.573142
222.46229,1600,1054.641252
199.600899,1600,1060.703687
4.218187,1249,1063.743351
219.874226,1600,1069.869599
235.835671,1600,1076.051916
217.504136,1600,1082.179594
213.535894,1600,1085.950192
206.03956,1600,1092.058124
170.079117,1600,1098.230824
-31.787891,497,1099.470241
227.929107,1600,1105.575675
218.898585,1600,1111.687502
-91.030817,178,1112.168104
210.165107,1600,1118.226285
220.386592,1600,1121.934055
188.820883,1600,1128.027446
217.157515,1600,1134.221456
225.918272,1600,1140.331177
195.885747,1600,1146.556174
229.675617,1600,1150.223927
209.086093,1600,1156.321622
254.128456,1588,1162.403826
235.948608,1600,1168.591889
228.592346,1600,1172.276365
227.048071,1600,1178.465713
233.714143,1600,1184.667778
255.110308,1583,1190.813014
250.467338,1600,1196.978004
262.546035,1503,1200.479809
256.579155,1571,1206.576035
261.248327,1486,1212.492445
257.061115,1588,1218.619654
259.961999,1544,1222.155019
-85.862926,161,1222.551049
263.002725,1503,1228.454697
260.811258,1510,1234.288753
-123.864907,94,1234.549783
-99.248652,153,1234.973897
259.424701,1545,1241.094925
254.40819,1584,1247.289813
-35.949888,824,1249.246854
-115.554711,72,1249.398855
262.122265,1474,1255.43786
261.963957,1506,1259.196735
264.339218,1446,1265.131987
262.284026,1488,1271.057499
259.124204,1536,1277.329957
257.370255,1574,1281.107553
229.489895,1600,1287.382655
260.289637,1510,1293.598994
256.711746,1553,1299.800079
255.041519,1600,1303.620601
259.153664,1523,1309.858143
267.666436,1412,1316.254611
-137.2368,132,1316.533221
262.022287,1502,1322.250369
-110.446159,83,1322.439401
260.21659,1493,1326.092051
263.147079,1472,1332.011684
-89.265355,157,1332.369823
257.835904,1500,1338.301771
264.921712,1432,1344.094418
264.133945,1443,1347.474136
256.892295,1565,1353.510521
257.036917,1540,1359.44319
264.363871,1479,1365.397593
103.508718,1283,1368.324915
263.887312,1462,1374.244789
260.157083,1513,1380.165524
269.234616,1433,1383.596396
-24.30302,433,1387.014848
135.999097,1401,1390.253996
267.380803,1428,1396.045608
73.587731,995,1398.354205
261.084331,1529,1404.268981
269.56243,1449,1410.07949
260.143163,1580,1416.211666
271.935327,1383,1419.392612
263.610627,1493,1425.414087
-16.179672,541,1426.724988
73.060741,1105,1432.330149
262.782842,1503,1439.148687
261.853602,1485,1443.048935
270.918139,1415,1449.191569
264.929747,1490,1455.412606
269.519364,1425,1459.059258
-15.573642,590,1463.118685
-130.340206,142,1463.473213
259.86894,1523,1469.889381
256.620663,1563,1473.873467
-114.754562,63,1474.041466
260.166515,1531,1480.391352
264.70443,1495,1487.233619
264.386268,1474,1494.808041
261.713851,1517,1499.483431
260.874824,1529,1506.326083
262.346878,1489,1512.629612
268.538074,1391,1516.08993
265.104629,1437,1522.265685
257.818348,1515,1528.55242
-112.32538,99,1528.818047
265.468876,1447,1534.920124
265.081271,1456,1538.618452
262.143351,1502,1545.110587
268.83569,1420,1551.168189
263.624155,1504,1557.385664
266.400205,1475,1561.152186
266.798002,1427,1567.309296
131.841936,1478,1573.253021
-121.192381,73,1573.43603
262.051811,1500,1577.141572
264.421014,1451,1583.356852
266.091254,1477,1589.535059
263.415105,1488,1595.802453
-113.265594,58,1595.953239
273.518176,1353,1599.354861
-116.518697,65,1599.512038
265.666652,1454,1605.853639
269.437193,1398,1611.95565
261.648285,1494,1615.737979
263.114756,1505,1622.06295
-120.023543,68,1622.23698
270.18471,1412,1628.248254
271.451574,1387,1634.415719
-114.433078,87,1634.613754
-110.759901,76,1634.789531
274.963444,1298,1638.039509
270.170348,1412,1644.158443
273.722391,1351,1650.358722
265.842914,1452,1654.004848
272.741549,1396,1660.175274
-124.901653,75,1660.371947
268.395411,1426,1666.481529
264.918915,1499,1670.205867
276.692075,1318,1676.271625
267.213161,1487,1682.475523
260.184698,1509,1688.879127
271.567786,1402,1692.434282
271.652233,1410,1698.476921
269.944812,1410,1704.492192
267.9748,1433,1708.122145
271.729444,1425,1714.356347
